Revenue Band	Revenue Band Mod	Revenue Band Mod Codificado	conteo_distinto
14	<$100K	-1.000000e+05	0.0	13220
0	$100K-$499K	1.000000e+05	1.0	2287
9	$500K-$999K	5.000000e+05	2.0	4524
5	$1M-$2.49M	1.000000e+06	3.0	5705
6	$2.5M-$4.9M	2.500000e+06	4.0	441
13	$5M-$9.9M	5.000000e+06	5.0	1418
3	$10M-$24.9M	1.000000e+07	6.0	1997
8	$25M-$49M	2.500000e+07	7.0	250
11	$50M-$99M	5.000000e+07	8.0	452
1	$100M-$499M	1.000000e+08	9.0	640
10	$500M-$999M	5.000000e+08	10.0	192
4	$1B-$4.9B	1.000000e+09	11.0	314
12	$5B-$9.9B	5.000000e+09	12.0	58
2	$10B-$24.9B	1.000000e+10	13.0	62
7	$25B+	2.500000e+10	14.0	63
